lemma	acc	dat	BAN	ON	RA	VAL	UL	BA	RÓL	HOZ	BÓL	TÓL	NÁL	VÁ	IG	ÉRT	KÉNT	KOR	SZOR	NKÉNT	ADP	ADV	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
ad	-0.199579832	-0.082894696	0.018772894	0.015383076	-0.169512036	-0.005892742	-0.008201357	-0.021562471	-0.086501908	-0.034438776	0.013938268	-0.002895389	-0.005679195	0.0	0.002095069	0.061301444	0.005921599	-0.007653061	0.0	0.003714948	0.032570721	0.024984994	1	1	2	4	1	1	4	6	2	6	2	1	3	0	1	1	1	1
alszik	-0.039451011	0.003676337	-0.059184588	-0.03391431	0.015770719	-0.020738415	-0.013506806	-0.000960448	0.0	-0.00309119	0.002610966	0.009003192	-0.000855525	0.0	-0.026275116	0.002610966	0.0	0.001065371	0.0	-0.00309119	0.048631765	0.019245281	1	1	2	2	1	1	1	6	7	6	0	1	3	0	1	2	1	1
bocsát	-0.118250377	-0.026369168	0.027128517	-0.000884173	-0.809101784	0.030956467	-0.05193738	-0.062880325	0.020627243	-0.016227181	0.205471472	0.093493525	0.004171218	-0.002028398	0.011442243	-0.016227181	0.008342435	-0.00811359	0.0	-0.006085193	0.072783065	0.027929474	0	2	1	3	0	5	3	3	4	3	8	5	4	1	0	4	0	0
bír	0.337464964	-0.002366864	-0.059379217	-0.015592235	-0.040236686	-0.273092495	0.024509499	0.0	-0.00591716	-0.002366864	0.00285477	0.006405066	-0.003550296	0.0	-0.030281325	0.0	-0.001183432	-0.002366864	0.0	-0.001183432	-0.041555071	-0.127447317	0	0	0	1	2	0	0	0	0	10	7	11	7	2	10	3	10	10
bírál	0.033031806	0.00509678	0.068125669	0.032428752	0.02361638	0.036494504	-0.247018772	0.0	-0.010738255	0.0	0.009123626	0.010465908	-0.004026846	0.0	0.043478261	-0.028187919	0.01180819	-0.006711409	-0.001342282	0.014492754	-0.073319716	-0.060188698	1	1	3	2	1	1	1	2	7	6	2	1	13	0	1	2	1	1
dönt	0.596473106	-0.006864989	-0.066821199	-0.186058983	-0.007519856	0.015338727	-0.026224355	-0.00928182	-0.585940859	-0.001144165	-0.001272667	0.002159827	-0.003560997	0.0	-0.009153318	0.0	-0.001529672	-0.000128502	0.0	-0.001144165	-0.14855855	0.011360098	0	0	0	1	5	4	7	4	9	8	4	3	9	3	8	10	8	8
dől	-0.00156329	-0.0790749	0.160908548	0.211963768	-0.086679847	-0.021214768	0.027559888	-0.238493724	-0.006170399	-0.054393305	-0.083470504	-0.0561681	0.024387328	0.0	0.015384615	0.002197802	-0.0041841	0.006593407	0.0	0.0	0.102836912	0.016285806	0	1	3	2	1	2	5	2	5	1	10	4	8	6	6	0	6	6
enged	0.171034241	-0.123453758	-0.033656145	-0.018023266	-0.00073671	0.011458189	-0.081568408	-0.080593966	0.000707973	-0.019676945	-0.033253828	0.000674011	-0.002560197	0.0	-0.002560197	0.014590512	-0.000606088	0.009300309	0.0	0.000674011	0.049304697	-0.055809689	0	0	3	2	2	0	1	0	5	2	7	11	7	2	13	9	13	13
esik	-0.013715086	-0.06101977	0.078606695	-0.069024589	-0.19141928	-0.028213592	-0.082447197	-0.098233996	-0.245346481	-0.006622517	-0.004728379	0.251112457	0.002841206	-0.002207506	-0.016556291	0.003154574	0.00599578	-0.000156684	0.0	-0.000156684	0.015835544	-0.038540818	0	1	2	0	1	1	6	2	3	9	2	8	5	14	1	1	1	18
felejt	-0.007038206	0.005805479	-0.067516804	-0.067733364	0.016883366	-0.011927469	-0.045202775	-0.002981867	0.0	0.0	0.00404801	-0.014218009	0.008787346	0.0	-0.009478673	-0.004739336	0.0	0.0	0.0	0.0	-0.034024938	-0.056880367	1	1	2	2	1	1	1	6	7	6	0	1	3	0	1	2	1	1
